Designator,Mid X,Mid Y,Layer,Rotation
C1,32.82,63.88,Bottom,0.0
C2,28.70,73.72,Bottom,180.0
C3,18.08,76.34,Bottom,180.0
C4,18.08,65.82,Bottom,180.0
C5,35.05,68.32,Bottom,90.0
C6, 8.51,68.53,Bottom,270.0
C7,12.24,21.53,Bottom,270.0
C8, 3.54,59.68,Bottom,180.0
C9,16.02,101.83,Bottom,0.0
C10,17.18,45.30,Bottom,90.0
C11,32.84,42.47,Bottom,270.0
C12, 6.53,41.67,Bottom,0.0
C13,27.53,42.47,Bottom,270.0
C14,30.83,50.47,Bottom,90.0
C15,26.57,79.93,Bottom,180.0
C17,20.91,50.39,Bottom,90.0
C18,31.37,47.53,Bottom,0.0
C19, 3.54,57.45,Bottom,0.0
C20,11.16,51.10,Bottom,0.0
C21,12.00,69.38,Bottom,0.0
C22,21.57,75.39,Bottom,90.0
C23, 8.61,47.21,Bottom,0.0
C24,17.50,42.44,Bottom,0.0
C25,32.99,74.42,Bottom,0.0
C26,28.70,63.88,Bottom,0.0
C27, 4.66,88.95,Bottom,270.0
C28, 4.38,72.39,Bottom,0.0
C29,14.91,76.34,Bottom,180.0
C30,25.22,56.98,Bottom,0.0
C31,26.65,103.56,Bottom,0.0
D1,30.60,61.66,Bottom,180.0
D2,30.60,59.43,Bottom,0.0
D3, 7.03,58.19,Bottom,180.0
D4,13.16,100.24,Bottom,270.0
D7, 8.24,72.39,Bottom,0.0
IC1, 7.24,80.74,Bottom,270.0
IC2,30.60,68.64,Bottom,180.0
IC3,17.08,70.58,Bottom,0.0
IC4, 7.35,54.28,Bottom,270.0
IC5,12.42,44.03,Bottom,270.0
IC6,25.97,49.43,Bottom,270.0
R1,25.22,59.20,Bottom,0.0
R2,14.91,78.56,Bottom,180.0
R3,19.08,61.37,Bottom,180.0
R4,18.08,78.56,Bottom,180.0
R5, 6.29,34.63,Bottom,90.0
R6,19.08,63.60,Bottom,180.0
R7,35.05,71.50,Bottom,90.0
R8, 5.97,68.53,Bottom,90.0
R9,21.15,68.22,Bottom,270.0
R10,15.77,59.18,Bottom,180.0
R11,12.75,53.64,Bottom,0.0
R12,28.70,76.24,Bottom,0.0
R13, 7.03,60.31,Bottom,0.0
R14, 3.02,49.86,Bottom,90.0
R15, 5.30,64.80,Bottom,0.0
R16,16.02,98.65,Bottom,0.0
R17, 7.03,62.53,Bottom,180.0
R18,10.84,59.68,Bottom,180.0
R19,27.07,25.00,Bottom,90.0
R20,19.41,45.30,Bottom,90.0
R21,20.68,42.44,Bottom,0.0
R22,24.85, 1.76,Bottom,180.0
R23, 4.49,44.34,Bottom,90.0
R24, 7.02,44.35,Bottom,270.0
R25, 6.53,39.49,Bottom,0.0
R26,35.39, 5.50,Bottom,270.0
R27,33.02,50.51,Bottom,90.0
R28,35.21,50.47,Bottom,270.0
R29,18.88,97.70,Bottom,270.0
R32,17.47,40.13,Bottom,180.0
VD1,32.66,79.94,Bottom,180.0
VD2,32.63,103.53,Bottom,0.0
